SnowToday Calculated SWE Summary Data : 2024-03-05
Column01 : site name
Column02 : latitude
Column03 : longitude
Column04 : elevation
Column05 : SWE (cm)
Column06 : percent of median long-term (25+yr) SWE on this date
Column07 : percent of long-term (25+yr) peak SWE
Column08 : daily change in SWE (cm)
Column09 : State
Column10 : HUC02
Column11 : HUC04
Name,Lat,Lon,Elev_m,SWE,normSWE,percentPeakSWE,dSWE,State,HUC02,HUC04
Quartz Mountain,42.3200,-120.8300,1743.5,3.8,77.0,29.0,0.8,USOR,HUC18,NaN
Railroad Overpass,43.6600,-122.2100,816.9,6.3,NaN,NaN,1.3,USOR,HUC17,NaN
Red Hill,45.4600,-121.7000,1344.2,83.1,82.0,65.0,1.8,USOR,HUC17,NaN
Roaring River,43.9000,-122.0300,1508.8,55.6,91.0,70.0,2.3,USOR,HUC17,NaN
Rock Springs,44.0100,-118.8400,1612.4,19.6,124.0,117.0,0.5,USOR,HUC17,NaN
Saddle Mountain,45.5400,-123.3700,947.9,15.0,219.0,52.0,1.3,USOR,HUC17,NaN
Salt Creek Falls,43.6100,-122.1200,1286.3,47.5,110.0,87.0,2.0,USOR,HUC17,NaN
Santiam Jct.,44.4400,-121.9500,1140.0,36.6,102.0,82.0,1.0,USOR,HUC17,NaN
Schneider Meadows,45.0000,-117.1700,1645.9,59.2,95.0,79.0,1.3,USOR,HUC17,NaN
Seine Creek,45.5300,-123.3000,627.9,9.4,NaN,NaN,0.8,USOR,HUC17,NaN
Sevenmile Marsh,42.7000,-122.1400,1737.4,83.6,125.0,104.0,2.3,USOR,HUC18,NaN
Silver Creek,42.9600,-121.1800,1749.6,22.1,88.0,75.0,1.8,USOR,HUC17,NaN
Silvies,42.7500,-118.6900,2130.6,38.4,108.0,85.0,0.8,USOR,HUC17,NaN
Smith Ridge,44.3000,-122.0400,996.7,15.0,NaN,NaN,1.3,USOR,HUC17,NaN
Snow Mountain,43.9500,-119.5400,1898.9,29.7,121.0,89.0,0.8,USOR,HUC17,NaN
South Fork Bull Run,45.4500,-122.0300,819.9,19.6,NaN,NaN,1.5,USOR,HUC17,NaN
Starr Ridge,44.2600,-119.0200,1600.2,19.3,127.0,101.0,0.0,USOR,HUC17,NaN
Strawberry,42.1300,-120.8400,1758.7,12.9,131.0,77.0,1.0,USOR,HUC18,NaN
Summer Rim,42.7000,-120.8000,2158.0,13.7,43.0,30.0,0.5,USOR,HUC18,NaN
Summit Lake,43.4500,-122.1400,1709.9,84.6,107.0,78.0,2.0,USOR,HUC17,NaN
Sun Pass,42.7900,-121.9800,1645.9,43.4,NaN,NaN,3.0,USOR,HUC18,NaN
Swan Lake Mtn,42.4100,-121.6800,2081.8,64.0,NaN,NaN,2.5,USOR,HUC18,NaN
Taylor Butte,42.6900,-121.4300,1533.1,4.3,30.0,23.0,0.8,USOR,HUC18,NaN
Taylor Green,45.0800,-117.5500,1749.6,43.2,97.0,77.0,0.8,USOR,HUC17,NaN
Three Creeks Meadow,44.1400,-121.6400,1734.3,29.7,83.0,61.0,1.8,USOR,HUC17,NaN
Tipton,44.6600,-118.4300,1569.7,26.7,96.0,78.0,-0.5,USOR,HUC17,NaN
Toketee Airstrip,43.2300,-122.4300,987.6,9.9,NaN,NaN,2.0,USOR,HUC17,NaN
Wolf Creek,45.0700,-118.1500,1716.0,29.5,84.0,68.0,0.0,USOR,HUC17,NaN
Blind Park,44.1100,-103.9800,2100.1,7.6,46.0,39.0,0.5,USSD,HUC10,NaN
North Rapid Creek,44.2100,-103.7900,1868.4,11.9,79.0,65.0,0.0,USSD,HUC10,NaN
Agua Canyon,37.5200,-112.2700,2712.7,22.6,120.0,90.0,0.0,USUT,HUC16,NaN
Bear River RS,40.8900,-110.8300,2675.2,26.2,NaN,NaN,0.0,USUT,HUC16,NaN
Beaver Dams,39.1400,-111.5600,2435.4,27.4,128.0,102.0,0.5,USUT,HUC16,NaN
Beaver Divide,40.6100,-111.1000,2523.7,31.2,128.0,100.0,0.0,USUT,HUC16,NaN
Ben Lomond Peak,41.3800,-111.9400,2343.6,110.5,135.0,107.0,2.3,USUT,HUC16,NaN
Ben Lomond Trail,41.3800,-111.9200,1820.3,67.8,160.0,135.0,1.5,USUT,HUC16,NaN
Bevans Cabin,40.4600,-112.2500,1987.3,22.1,NaN,NaN,-4.1,USUT,HUC16,NaN
Big Flat,38.3000,-112.3600,3154.4,36.8,104.0,66.0,0.0,USUT,HUC16,NaN
Black Flat-U.M. Ck,38.6800,-111.6000,2869.4,22.1,112.0,83.0,0.0,USUT,HUC14,NaN
Blacks Fork Jct,40.9600,-110.5800,2703.3,25.9,NaN,NaN,0.0,USUT,HUC14,NaN
Bobs Hollow,38.9500,-112.1500,2840.4,37.1,NaN,NaN,0.0,USUT,HUC16,NaN
Box Creek,38.5100,-112.0200,3003.2,15.2,64.0,45.0,0.0,USUT,HUC16,NaN
Box Springs,38.5000,-112.0100,2812.7,18.3,NaN,NaN,0.0,USUT,HUC16,NaN
Brian Head,37.6800,-112.8600,3059.9,35.6,NaN,NaN,0.0,USUT,HUC16,NaN
Brighton,40.6000,-111.5800,2671.9,53.9,119.0,86.0,0.5,USUT,HUC16,NaN
Brown Duck,40.5800,-110.5900,3223.0,41.9,107.0,75.0,0.0,USUT,HUC14,NaN
Buck Flat,39.1300,-111.4400,2867.9,36.6,103.0,76.0,0.8,USUT,HUC14,NaN
Buck Pasture,40.8400,-110.6600,2935.8,34.3,NaN,NaN,0.5,USUT,HUC14,NaN
Buckboard Flat,37.8700,-109.4500,2720.0,27.9,NaN,NaN,0.0,USUT,HUC14,NaN
Bug Lake,41.6900,-111.4200,2434.4,51.8,129.0,98.0,0.5,USUT,HUC16,NaN
Burts Miller Ranch,40.9800,-110.8500,2438.4,20.6,NaN,NaN,0.0,USUT,HUC16,NaN
Camp Jackson,37.8100,-109.4900,2699.9,30.0,102.0,78.0,0.0,USUT,HUC14,NaN
Cascade Mountain,40.2800,-111.6100,2369.5,50.8,NaN,NaN,0.0,USUT,HUC16,NaN
Castle Valley,37.6600,-112.7400,2928.2,30.0,108.0,77.0,0.0,USUT,HUC16,NaN
Chalk Creek #1,40.8500,-111.0500,2795.3,49.5,104.0,74.0,0.5,USUT,HUC16,NaN
Chalk Creek #2,40.8900,-111.0700,2501.8,38.1,119.0,87.0,0.0,USUT,HUC16,NaN
Chepeta,40.7700,-110.0100,3200.1,28.2,97.0,70.0,0.0,USUT,HUC14,NaN
Clayton Springs,37.9700,-111.8300,3062.9,27.9,NaN,NaN,0.0,USUT,HUC16,NaN
Clear Creek #1,39.8700,-111.2800,2735.6,44.5,117.0,88.0,1.3,USUT,HUC16,NaN
Clear Creek #2,39.8900,-111.2500,2388.7,32.0,124.0,85.0,1.0,USUT,HUC16,NaN
Corral,39.6600,-110.3800,2501.5,23.6,NaN,NaN,0.8,USUT,HUC14,NaN
Currant Creek,40.3600,-111.0900,2412.5,32.0,148.0,115.0,0.0,USUT,HUC14,NaN
Daniels-Strawberry,40.3000,-111.2600,2440.8,45.2,140.0,102.0,1.0,USUT,HUC16,NaN
Dills Camp,39.0500,-111.4700,2812.7,29.7,116.0,83.0,0.5,USUT,HUC14,NaN
Donkey Reservoir,38.2100,-111.4700,2986.7,17.0,116.0,79.0,0.0,USUT,HUC14,NaN
Dry Bread Pond,41.4100,-111.5400,2530.4,43.4,108.0,81.0,0.5,USUT,HUC16,NaN
Dry Fork,40.5700,-112.1700,2161.9,39.4,127.0,97.0,0.0,USUT,HUC16,NaN
East Willow Creek,39.3100,-109.5300,2530.4,19.8,110.0,88.0,0.5,USUT,HUC14,NaN
EF Blacks Fork GS,40.8800,-110.5400,2852.9,19.1,NaN,NaN,0.0,USUT,HUC14,NaN
Farmington,40.9700,-111.8100,2408.5,82.8,117.0,86.0,1.0,USUT,HUC16,NaN
Farmington Lower,40.9900,-111.8200,2066.2,64.5,NaN,NaN,0.8,USUT,HUC16,NaN
Farnsworth Lake,38.7700,-111.6800,2933.1,40.4,110.0,73.0,0.0,USUT,HUC16,NaN
Fish Lake Utah,38.5000,-111.7700,2681.6,21.3,NaN,NaN,0.0,USUT,HUC14,NaN
Five Points Lake,40.7200,-110.4700,3335.4,43.9,133.0,88.0,5.8,USUT,HUC14,NaN
Garden City Summit,41.9200,-111.4700,2348.5,49.5,NaN,NaN,0.8,USUT,HUC16,NaN
Gardner Peak,37.4000,-113.4600,2536.5,26.2,NaN,NaN,0.0,USUT,HUC15,NaN
GBRC HQ,39.3200,-111.4900,2682.5,36.3,NaN,NaN,1.3,USUT,HUC16,NaN
GBRC Meadows,39.3000,-111.4500,3004.7,49.8,NaN,NaN,1.5,USUT,HUC16,NaN
George Creek,41.9200,-113.4100,2732.2,49.8,NaN,NaN,1.0,USUT,HUC17,NaN
Gooseberry RS,38.8000,-111.6800,2421.3,19.6,106.0,78.0,-1.5,USUT,HUC16,NaN
Gooseberry RS Up,38.7900,-111.6900,2559.1,27.9,NaN,NaN,-1.0,USUT,HUC16,NaN
Gutz Peak,37.5000,-113.9400,2061.4,26.2,NaN,NaN,0.0,USUT,HUC15,NaN
Hardscrabble,40.8700,-111.7200,2209.8,46.0,121.0,91.0,-1.0,USUT,HUC16,NaN
Harris Flat,37.4900,-112.5800,2375.0,20.3,120.0,87.0,0.0,USUT,HUC16,NaN
Hayden Fork,40.8000,-110.8800,2782.8,40.4,126.0,92.0,0.8,USUT,HUC16,NaN
Hewinta,40.9500,-110.4800,2895.6,27.7,128.0,89.0,0.0,USUT,HUC14,NaN
Hickerson Park,40.9100,-109.9600,2780.4,19.8,122.0,89.0,0.0,USUT,HUC14,NaN
Hobble Creek,40.1900,-111.3600,2248.5,43.9,NaN,NaN,0.0,USUT,HUC16,NaN
Hole-in-Rock,40.9200,-110.1900,2794.4,17.8,121.0,83.0,0.0,USUT,HUC14,NaN
Horse Ridge,41.3100,-111.4500,2499.1,51.8,110.0,89.0,0.5,USUT,HUC16,NaN
Huntington Horse,39.6200,-111.3100,2941.9,54.6,NaN,NaN,2.3,USUT,HUC14,NaN
Jones Corral,38.0700,-112.1700,2971.5,22.1,NaN,NaN,0.0,USUT,HUC16,NaN
Kilfoil Creek,41.2500,-111.4100,2200.7,36.6,NaN,NaN,0.8,USUT,HUC16,NaN
Kimberly Mine,38.4800,-112.3900,2774.0,34.0,105.0,79.0,0.0,USUT,HUC16,NaN
Kings Cabin,40.7200,-109.5400,2660.3,23.6,113.0,78.0,0.0,USUT,HUC14,NaN
Klondike Narrows,41.9700,-111.6000,2209.8,54.4,NaN,NaN,1.0,USUT,HUC16,NaN
Kolob,37.5300,-113.0500,2823.4,39.9,98.0,64.0,0.0,USUT,HUC15,NaN
Lakefork #1,40.6000,-110.4300,3087.0,29.0,114.0,79.0,0.0,USUT,HUC14,NaN
Lakefork #3,40.5500,-110.3500,2579.8,18.8,NaN,NaN,0.0,USUT,HUC14,NaN
Lakefork Basin,40.7400,-110.6200,3317.7,45.0,111.0,77.0,0.5,USUT,HUC14,NaN
Lasal Mountain,38.4800,-109.2700,2919.4,27.2,100.0,79.0,0.0,USUT,HUC14,NaN
Lasal Mountain-Lower,38.4800,-109.2900,2677.1,22.6,NaN,NaN,0.0,USUT,HUC14,NaN
Lightning Ridge,41.3600,-111.4900,2503.9,50.5,NaN,NaN,1.0,USUT,HUC16,NaN
Lily Lake,40.8600,-110.8000,2783.7,30.5,117.0,85.0,0.0,USUT,HUC16,NaN
Little Bear,41.4100,-111.8300,1995.8,39.4,146.0,117.0,0.5,USUT,HUC16,NaN
Little Grassy,37.4900,-113.8500,1848.6,NaN,NaN,NaN,NaN,USUT,HUC16,NaN
Lonesome Beaver,38.0700,-110.7700,2868.2,11.2,NaN,NaN,-1.5,USUT,HUC14,NaN
Long Flat,37.5100,-113.4000,2432.9,16.5,91.0,74.0,-1.0,USUT,HUC16,NaN
Long Valley Jct,37.4900,-112.5100,2275.3,13.7,117.0,77.0,-1.5,USUT,HUC16,NaN
Lookout Peak,40.8400,-111.7100,2487.5,71.6,124.0,99.0,0.5,USUT,HUC16,NaN
Lost Creek Resv,41.2200,-111.3600,1853.8,26.7,NaN,NaN,0.0,USUT,HUC16,NaN
Louis Meadow,40.8300,-111.7600,2042.2,54.6,133.0,111.0,0.5,USUT,HUC16,NaN
Mammoth-Cottonwood,39.6800,-111.3200,2654.5,48.0,122.0,89.0,1.5,USUT,HUC16,NaN
Merchant Valley,38.3000,-112.4400,2653.3,26.9,98.0,74.0,0.0,USUT,HUC16,NaN
Midway Valley,37.5700,-112.8400,2995.3,44.2,99.0,66.0,0.0,USUT,HUC16,NaN
Mill-D North,40.6600,-111.6400,2731.9,67.8,132.0,97.0,1.0,USUT,HUC16,NaN
Mining Fork,40.4900,-112.6100,2528.3,50.0,130.0,98.0,1.0,USUT,HUC16,NaN
Monte Cristo,41.4700,-111.5000,2722.5,63.8,112.0,82.0,0.8,USUT,HUC16,NaN
Mosby Mtn.,40.6100,-109.8900,2911.8,26.2,114.0,71.0,0.0,USUT,HUC14,NaN
Mt Baldy,39.1400,-111.5100,2902.9,53.6,NaN,NaN,1.0,USUT,HUC16,NaN
Mt Pennell,37.9800,-110.7900,2806.9,18.5,NaN,NaN,0.0,USUT,HUC14,NaN
Oak Creek,39.3500,-112.3300,2392.7,29.7,NaN,NaN,0.5,USUT,HUC16,NaN
Panguitch Lake RS,37.7000,-112.6500,2545.1,13.5,NaN,NaN,0.0,USUT,HUC16,NaN
Parleys Summit,40.7600,-111.6300,2311.9,41.4,122.0,92.0,0.0,USUT,HUC16,NaN
Parleys Upper,40.7000,-111.6100,2546.0,58.2,NaN,NaN,1.0,USUT,HUC16,NaN
Parrish Creek,40.9300,-111.8100,2359.2,67.1,131.0,102.0,0.8,USUT,HUC16,NaN
Payson R.S.,39.9300,-111.6300,2451.8,38.6,111.0,84.0,0.0,USUT,HUC16,NaN
Pickle Keg,39.0100,-111.5800,2749.3,32.5,104.0,72.0,0.0,USUT,HUC16,NaN
Pine Creek,38.8800,-112.2500,2662.1,50.0,119.0,85.0,1.3,USUT,HUC16,NaN
Red Pine Ridge,39.4500,-111.2700,2739.5,38.1,120.0,87.0,1.5,USUT,HUC14,NaN
Redden Mine Lwr,40.6800,-111.2200,2600.6,41.9,NaN,NaN,0.8,USUT,HUC16,NaN
Rees Flat,39.5000,-111.7300,2196.4,31.0,NaN,NaN,1.0,USUT,HUC16,NaN
Rock Creek,40.5500,-110.6900,2403.7,21.3,119.0,93.0,0.0,USUT,HUC14,NaN
Rocky Basin-Settleme,40.4400,-112.2200,2653.0,50.8,119.0,75.0,0.0,USUT,HUC16,NaN
Santaquin Meadows,39.9200,-111.7200,2388.1,45.5,NaN,NaN,0.0,USUT,HUC16,NaN
Seeley Creek,39.3100,-111.4300,3018.7,29.0,109.0,71.0,0.8,USUT,HUC14,NaN
Smith Morehouse,40.7900,-111.0900,2325.9,37.3,120.0,99.0,0.0,USUT,HUC16,NaN
Snowbird,40.5700,-111.6600,2797.1,95.5,135.0,85.0,0.8,USUT,HUC16,NaN
Spirit Lk,40.8400,-110.0100,3119.6,27.9,NaN,NaN,-0.5,USUT,HUC14,NaN
Steel Creek Park,40.9100,-110.5000,3096.2,33.5,107.0,68.0,0.0,USUT,HUC14,NaN
Strawberry Divide,40.1600,-111.2100,2475.9,48.3,143.0,106.0,0.5,USUT,HUC14,NaN
Sunflower Flat,38.0500,-111.3400,3053.5,27.7,NaN,NaN,1.8,USUT,HUC14,NaN
Suu Ranch,37.6000,-112.9300,2453.6,27.9,NaN,NaN,0.0,USUT,HUC16,NaN
Takka Wiiya,39.7400,-113.9800,2780.4,32.8,NaN,NaN,0.0,USUT,HUC16,NaN
Temple Fork,41.7900,-111.5500,2257.3,44.5,NaN,NaN,0.0,USUT,HUC16,NaN
Thaynes Canyon,40.6200,-111.5300,2813.3,55.9,123.0,87.0,0.8,USUT,HUC16,NaN
Thistle Flat,39.2400,-111.5200,2678.3,32.5,NaN,NaN,1.5,USUT,HUC16,NaN
Timberline,39.6800,-110.4300,2662.7,26.9,NaN,NaN,0.8,USUT,HUC14,NaN
Timpanogos Divide,40.4300,-111.6200,2481.1,46.2,100.0,76.0,0.0,USUT,HUC16,NaN
Tony Grove Lake,41.9000,-111.6300,2582.9,93.5,125.0,96.0,0.8,USUT,HUC16,NaN
Tony Grove RS,41.8900,-111.5700,1930.0,37.1,NaN,NaN,0.5,USUT,HUC16,NaN
Trial Lake,40.6800,-110.9500,3045.6,55.9,120.0,81.0,1.0,USUT,HUC16,NaN
Trout Creek,40.7400,-109.6700,2901.1,20.3,104.0,67.0,0.0,USUT,HUC14,NaN
Upper Joes Valley,39.4200,-111.2500,2620.1,28.2,NaN,NaN,1.3,USUT,HUC14,NaN
Usu Doc Daniel,41.8600,-111.5100,2520.7,67.6,NaN,NaN,0.5,USUT,HUC16,NaN
Vernon Creek,39.9400,-112.4100,2255.8,30.0,144.0,95.0,0.0,USUT,HUC16,NaN
Webster Flat,37.5800,-112.9000,2805.1,36.3,126.0,83.0,0.0,USUT,HUC16,NaN
White River #1,39.9600,-110.9900,2633.8,36.3,148.0,106.0,0.8,USUT,HUC14,NaN
Widtsoe #3,37.8400,-111.8800,2938.3,29.0,123.0,86.0,0.0,USUT,HUC16,NaN
Wrigley Creek,39.1300,-111.3600,2842.9,22.4,NaN,NaN,0.5,USUT,HUC14,NaN
Yankee Reservoir,37.7500,-112.7700,2649.3,25.4,NaN,NaN,0.0,USUT,HUC16,NaN
Alpine Meadows,47.7800,-121.7000,1066.8,72.6,66.0,51.0,3.3,USWA,HUC17,NaN
Beaver Pass,48.8800,-121.2600,1106.4,56.4,NaN,NaN,0.8,USWA,HUC17,NaN
Blewett Pass,47.3500,-120.6800,1292.4,26.9,76.0,69.0,0.0,USWA,HUC17,NaN
Brown Top,48.9300,-121.2000,1777.0,NaN,NaN,NaN,NaN,USWA,HUC17,NaN
Buckinghorse,47.7100,-123.4600,1484.4,69.8,NaN,NaN,0.0,USWA,HUC17,NaN
Bumping Ridge,46.8100,-121.3300,1405.1,49.8,85.0,70.0,0.0,USWA,HUC17,NaN
Bunchgrass Mdw,48.6900,-117.1800,1524.0,46.2,85.0,63.0,1.3,USWA,HUC17,NaN
Burnt Mountain,47.0400,-121.9400,1271.0,15.5,NaN,NaN,0.8,USWA,HUC17,NaN
Calamity,45.9000,-122.2200,762.0,9.4,NaN,NaN,1.3,USWA,HUC17,NaN
Cayuse Pass,46.8700,-121.5300,1597.2,85.6,NaN,NaN,1.0,USWA,HUC17,NaN
Corral Pass,47.0200,-121.4600,1767.8,59.4,81.0,63.0,0.0,USWA,HUC17,NaN
Cougar Mountain,47.2800,-121.6700,975.4,8.4,22.0,16.0,0.8,USWA,HUC17,NaN
Dungeness,47.8700,-123.0800,1222.2,6.6,34.0,23.0,0.0,USWA,HUC17,NaN
Easy Pass,48.8600,-121.4400,1606.3,144.5,NaN,NaN,2.3,USWA,HUC17,NaN
Elbow Lake,48.6900,-121.9100,926.6,31.0,37.0,32.0,1.0,USWA,HUC17,NaN
Fish Lake,47.5400,-121.0900,1045.5,52.6,77.0,66.0,0.0,USWA,HUC17,NaN
Gold Axe Camp,48.9500,-118.9900,1633.7,12.9,NaN,NaN,0.0,USWA,HUC17,NaN
Gold Mountain,48.1900,-118.4600,1338.1,12.4,NaN,NaN,0.0,USWA,HUC17,NaN
Green Lake,46.5500,-121.1700,1804.4,46.7,93.0,74.0,0.0,USWA,HUC17,NaN
Grouse Camp,47.2800,-120.4900,1642.9,35.6,82.0,69.0,0.0,USWA,HUC17,NaN
Harts Pass,48.7200,-120.6600,1978.2,71.9,76.0,58.0,0.0,USWA,HUC17,NaN
Huckleberry Creek,47.0700,-121.5900,685.8,2.5,NaN,NaN,2.5,USWA,HUC17,NaN
Indian Rock,45.9900,-120.8100,1633.7,25.9,NaN,NaN,0.0,USWA,HUC17,NaN
June Lake,46.1500,-122.1500,1048.5,79.5,86.0,68.0,2.0,USWA,HUC17,NaN
Lone Pine,46.2700,-121.9600,1197.9,72.9,96.0,70.0,1.3,USWA,HUC17,NaN
Lost Horse,46.3600,-121.0800,1560.6,24.4,57.0,51.0,0.5,USWA,HUC17,NaN
Lyman Lake,48.2000,-120.9200,1822.7,82.8,67.0,51.0,0.0,USWA,HUC17,NaN
Lynn Lake,47.2000,-121.7800,1188.7,26.7,NaN,NaN,1.3,USWA,HUC17,NaN
Marten Ridge,48.7600,-121.7000,1072.9,NaN,NaN,NaN,NaN,USWA,HUC17,NaN
Meadows Pass,47.2800,-121.4700,984.5,56.1,86.0,73.0,1.0,USWA,HUC17,NaN
MF Nooksack,48.8200,-121.9300,1514.9,77.7,NaN,NaN,1.3,USWA,HUC17,NaN
Morse Lake,46.9100,-121.4800,1649.0,100.8,88.0,68.0,0.0,USWA,HUC17,NaN
Moses Mtn,48.3600,-119.0800,1527.0,19.6,57.0,47.0,0.0,USWA,HUC17,NaN
Mount Crag,47.7600,-123.0300,1207.0,33.3,50.0,41.0,0.0,USWA,HUC17,NaN
Mount Gardner,47.3600,-121.5700,890.0,8.4,26.0,19.0,0.0,USWA,HUC17,NaN
Mowich,46.9300,-121.9500,963.2,2.8,NaN,NaN,0.0,USWA,HUC17,NaN
Muckamuck,48.5900,-119.8700,1362.5,9.9,NaN,NaN,0.0,USWA,HUC17,NaN
Olallie Meadows,47.3700,-121.4400,1228.3,94.0,84.0,65.0,1.0,USWA,HUC17,NaN
Paradise,46.7800,-121.7500,1563.6,131.8,87.0,67.0,1.3,USWA,HUC17,NaN
Park Creek Ridge,48.4400,-120.9200,1402.1,47.5,47.0,39.0,0.5,USWA,HUC17,NaN
Pepper Creek,46.1000,-121.9600,652.3,21.1,NaN,NaN,1.0,USWA,HUC17,NaN
Pigtail Peak,46.6200,-121.3900,1767.8,82.0,75.0,56.0,0.8,USWA,HUC17,NaN
Pinto Rock,46.3200,-121.9400,1353.3,62.0,NaN,NaN,1.5,USWA,HUC17,NaN
Pope Ridge,47.9900,-120.5700,1094.2,32.3,81.0,70.0,0.5,USWA,HUC17,NaN
Potato Hill,46.3500,-121.5100,1374.6,77.5,113.0,100.0,0.8,USWA,HUC17,NaN
Quartz Peak,47.8800,-117.0900,1432.6,40.6,79.0,73.0,1.8,USWA,HUC17,NaN
Rainy Pass,48.5200,-120.7400,1490.5,47.0,58.0,45.0,0.0,USWA,HUC17,NaN
Rex River,47.3000,-121.6000,1161.3,50.5,64.0,51.0,1.5,USWA,HUC17,NaN
Salmon Meadows,48.6600,-119.8400,1359.4,20.1,90.0,73.0,0.8,USWA,HUC17,NaN
Sasse Ridge,47.3800,-121.0600,1322.8,57.4,85.0,66.0,0.0,USWA,HUC17,NaN
Satus Pass,45.9900,-120.6800,1207.0,24.6,NaN,NaN,0.0,USWA,HUC17,NaN
Sawmill Ridge,47.1600,-121.4200,1414.3,54.6,NaN,NaN,0.0,USWA,HUC17,NaN
Sentinel Butte,48.8600,-118.4000,1426.5,20.3,NaN,NaN,0.0,USWA,HUC17,NaN
Sheep Canyon,46.1900,-122.2500,1216.2,70.1,88.0,65.0,1.5,USWA,HUC17,NaN
Skate Creek,46.6400,-121.8300,1149.1,66.0,NaN,NaN,1.0,USWA,HUC17,NaN
Skookum Creek,47.6800,-121.6100,1008.9,45.7,53.0,47.0,4.1,USWA,HUC17,NaN
Sourdough Gulch,46.2400,-117.3900,1219.2,0.0,NaN,NaN,0.0,USWA,HUC17,NaN
Spencer Meadow,46.1800,-121.9300,1036.3,45.2,66.0,53.0,1.3,USWA,HUC17,NaN
Spirit Lake,46.2600,-122.1800,1072.9,11.2,70.0,34.0,1.0,USWA,HUC17,NaN
Spruce Springs,46.1800,-117.5400,1737.4,23.1,NaN,NaN,0.0,USWA,HUC17,NaN
Stampede Pass,47.2700,-121.3400,1173.5,57.9,70.0,54.0,0.0,USWA,HUC17,NaN
Stevens Pass,47.7500,-121.0900,1204.0,73.4,84.0,72.0,0.8,USWA,HUC17,NaN
Surprise Lakes,46.0900,-121.7600,1307.6,88.4,86.0,71.0,1.0,USWA,HUC17,NaN
Swamp Creek,48.5700,-120.7800,1197.9,23.9,59.0,49.0,0.0,USWA,HUC17,NaN
Swift Creek,46.1600,-122.1800,1353.3,134.6,NaN,NaN,2.3,USWA,HUC17,NaN
Thunder Basin,48.5300,-120.9900,1316.7,52.6,80.0,64.0,0.0,USWA,HUC17,NaN
Tinkham Creek,47.3300,-121.4700,911.4,41.1,67.0,56.0,0.5,USWA,HUC17,NaN
Touchet,46.1200,-117.8500,1685.5,52.3,78.0,63.0,1.3,USWA,HUC17,NaN
Trinity,48.0700,-120.8500,893.1,58.4,NaN,NaN,0.0,USWA,HUC17,NaN
Trough,47.2300,-120.2900,1670.3,26.9,113.0,88.0,0.0,USWA,HUC17,NaN
Upper Wheeler,47.2900,-120.3700,1319.8,25.4,96.0,78.0,0.0,USWA,HUC17,NaN
Waterhole,47.9400,-123.4300,1527.0,40.6,46.0,38.0,1.0,USWA,HUC17,NaN
Wells Creek,48.8700,-121.7900,1228.3,47.5,63.0,54.0,1.3,USWA,HUC17,NaN
White Pass E.S.,46.6400,-121.3800,1353.3,53.3,103.0,88.0,0.0,USWA,HUC17,NaN
Bald Mtn.,44.8000,-107.8400,2859.0,26.9,70.0,46.0,0.0,USWY,HUC10,NaN
Base Camp,43.9400,-110.4500,2151.9,35.3,96.0,78.0,0.5,USWY,HUC17,NaN
Battle Mountain,41.0500,-107.2700,2267.7,27.7,108.0,90.0,0.0,USWY,HUC14,NaN
Bear Trap Meadow,43.8900,-107.0600,2499.4,8.4,69.0,48.0,0.0,USWY,HUC10,NaN
Beartooth Lake,44.9400,-109.5700,2852.9,31.8,71.0,49.0,0.5,USWY,HUC10,NaN
Big Goose,44.5800,-107.2000,2435.4,10.7,69.0,41.0,0.0,USWY,HUC10,NaN
Big Sandy Opening,42.6500,-109.2600,2767.6,24.4,93.0,67.0,0.0,USWY,HUC14,NaN
Blackhall Mtn,41.0600,-106.7100,2993.1,70.6,NaN,NaN,1.3,USWY,HUC10,NaN
Blackwater,44.3800,-109.7900,2980.9,46.0,102.0,64.0,0.8,USWY,HUC10,NaN
Blind Bull Sum,42.9600,-110.6100,2636.5,49.5,102.0,70.0,0.0,USWY,HUC14,NaN
Bone Springs Div,44.6800,-107.5800,2849.9,25.1,78.0,51.0,1.3,USWY,HUC10,NaN
Brooklyn Lake,41.3600,-106.2300,3121.2,48.3,110.0,74.0,1.0,USWY,HUC10,NaN
Burgess Junction,44.7900,-107.5300,2401.8,14.5,68.0,43.0,0.0,USWY,HUC10,NaN
Burroughs Creek,43.7000,-109.6700,2667.0,25.4,92.0,66.0,0.0,USWY,HUC10,NaN
Canyon,44.7200,-110.5100,2398.8,22.9,82.0,63.0,0.5,USWY,HUC10,NaN
Casper Mtn.,42.7300,-106.3200,2407.9,16.0,61.0,37.0,0.0,USWY,HUC10,NaN
Castle Creek,43.6700,-109.3800,2560.3,14.5,NaN,NaN,0.0,USWY,HUC10,NaN
Cinnabar Park,41.2400,-106.2300,2918.2,36.3,NaN,NaN,0.8,USWY,HUC10,NaN
Cloud Peak Reservoir,44.4000,-107.0600,3005.3,24.4,91.0,52.0,0.0,USWY,HUC10,NaN
Cold Springs,43.2800,-109.4500,2935.2,18.5,118.0,83.0,0.0,USWY,HUC10,NaN
Cole Canyon,44.4900,-104.4100,1801.4,6.1,NaN,NaN,-0.8,USWY,HUC10,NaN
Cottonwood Creek,42.6500,-110.8100,2337.8,48.5,104.0,82.0,0.0,USWY,HUC17,NaN
Crow Creek,41.2300,-105.3800,2539.0,7.4,NaN,NaN,0.0,USWY,HUC10,NaN
Deer Park,42.5900,-108.9000,2956.6,33.5,126.0,75.0,0.0,USWY,HUC10,NaN
